Date,Monthly Listeners
2023-08-18,46264
2023-08-19,46264
2023-08-20,46264
2023-08-21,46264
2023-08-22,46264
2023-08-23,46264
2023-08-24,46264
2023-08-25,47237
2023-08-26,47237
2023-08-27,47237
2023-08-28,47237
2023-08-29,47237
2023-08-30,47675
2023-08-31,47675
2023-09-01,47675
2023-09-02,47675
2023-09-03,47675
2023-09-04,47675
2023-09-05,47675
2023-09-06,47831
2023-09-07,47831
2023-09-08,47831
2023-09-09,47831
2023-09-10,47831
2023-09-11,47831
2023-09-12,47831
2023-09-13,48263
2023-09-14,48263
2023-09-15,48263
2023-09-16,48263
2023-09-17,48263
2023-09-18,48263
2023-09-19,48263
2023-09-20,48467
2023-09-21,48467
2023-09-22,48467
2023-09-23,48467
2023-09-24,48467
2023-09-25,48467
2023-09-26,48467
2023-09-27,50250
2023-09-28,50250
2023-09-29,50250
2023-09-30,50250
2023-10-01,50250
2023-10-02,50250
2023-10-03,50250
2023-10-04,50600
2023-10-05,50600
2023-10-06,50600
2023-10-07,50600
2023-10-08,50600
2023-10-09,50600
2023-10-10,50600
2023-10-11,50144
2023-10-12,50144
2023-10-13,50144
2023-10-14,50144
2023-10-15,50144
2023-10-16,50144
2023-10-17,50144
2023-10-18,49362
2023-10-19,49362
2023-10-20,49362
2023-10-21,49362
2023-10-22,49362
2023-10-23,49362
2023-10-24,49362
2023-10-25,49362
