track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,genre,duration_ms,num_artists,duration_mins,album_name,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_chill_opm_proba,genre_happy_opm_proba,genre_hugot_opm_proba,genre_sad_opm_proba
1RfHZX6gSruQIOYMOuztMt,Tulog,"['7cWEkOKiIp4HYkMcntHIs3', '5KMH7YhFAkmP7SvKeH0of8']","['Chad Borja', 'Yutaka Yokokura']",7DQNXQaQwZeIurAKdcalZT,,2000-08-29,20,0.551,0.415,0.0,-9.101,1.0,0.0269,0.377,0.0,0.0513,0.388,165.959,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,272626.0,2.0,4.5437666666666665,,0,chill_opm,0.6062769843115112,0.6062769843115112,0.0655963753968869,0.07378766350633359,0.25433897678526823
1Tsf8LwPvFOEZAcJuZAhsf,Yakap,7cWEkOKiIp4HYkMcntHIs3,Chad Borja,3xGYGnoAM7kc7MTZr6IZdj,,2013-05-10,0,0.477,0.595,6.0,-6.511,1.0,0.0417,0.573,0.0,0.108,0.382,199.914,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,246826.0,1.0,4.113766666666667,,0,chill_opm,0.4474861279831151,0.4474861279831151,0.12681464505243042,0.10958435325486104,0.31611487370959324
3daOwyqLApvUJCYQCjdRw8,Sana Dalawa Ang Puso Ko,77hvqYqKgIrS1SC0BhRdQx,RICO J PUNO,1LGT6rpU6WfpLKTN4kFmdP,,2008-07-18,0,0.634,0.607,0.0,-6.754,1.0,0.0397,0.713,1.74e-06,0.282,0.355,134.11,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,314373.0,1.0,5.23955,,0,chill_opm,0.44367694031250254,0.44367694031250254,0.08298440836266635,0.16440487043321758,0.30893378089161333
79PlBxg7GTXQMw6v6JAhm9,"Sorry Na, Puede Ba",77hvqYqKgIrS1SC0BhRdQx,RICO J PUNO,2CUlW8wX6FkS4tS3HoHc1r,,2008-07-03,0,0.277,0.305,2.0,-12.968,1.0,0.0289,0.537,2.15e-05,0.0712,0.489,142.308,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,221000.0,1.0,3.683333333333333,,0,chill_opm,0.47095478353627745,0.47095478353627745,0.012280410622515885,0.26365961567829144,0.2531051901629152
6a14ZLtkyJIp1ophsxl2rY,Nais Kong Malaman Mo,0NTCLJMe5JtkMt3YQuja45,Boyfriends,554tmQc4wtpyzgept0eLMk,,2004-01-01,0,0.561,0.366,2.0,-12.905,1.0,0.033,0.769,0.0,0.2,0.511,181.361,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,218533.0,1.0,3.642216666666666,,0,chill_opm,0.5807753727753728,0.5807753727753728,0.050383597883597885,0.09249494949494946,0.27634607984607984
0LE8Nk8Csk1YLPgqNHW4uJ,Umagang Kay Ganda,"['7uH5aJgl8e1vjSp330W6kN', '5AquMw2DcUWwsA6GoWKZRb']","['Tillie Moreno', 'Ray-An Fuentes']",3ebxSivbFn0Of77GNejYdQ,,2010-06-07,0,0.244,0.605,8.0,-8.011,1.0,0.0935,0.825,8.06e-05,0.0831,0.192,177.902,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,225533.0,2.0,3.758883333333333,,0,chill_opm,0.4465562435631927,0.4465562435631927,0.04531092219908712,0.11087370922163636,0.3972591250160838
5vMyeAfJLxBazfjDxhW3p6,Kasama Kang Tumanda,1vlz5PDUCNuZJeuJoufQkN,Ogie Alcasid,3N7nH83LzmndPDqCTwQhWZ,,2007-01-01,2,0.697,0.355,4.0,-8.722,1.0,0.0374,0.69,0.0,0.136,0.479,109.935,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,197355.0,1.0,3.28925,,0,chill_opm,0.5744711552064494,0.5744711552064494,0.038598746569334805,0.06237976729153199,0.32455033093268376
7osu5JQDE0riRg4ewMNHrg,Di Man Tinadhana,3XGlotxI2yAE3RV0DX6oD2,Noah Alejandre,3xPg2ALbLbmE4w6qQsEX53,,2022-05-06,52,0.739,0.438,5.0,-8.939,1.0,0.035,0.0583,0.00375,0.0919,0.499,127.977,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,250297.0,1.0,4.171616666666667,,0,chill_opm,0.7756500873853815,0.7756500873853815,0.07312293806411452,0.06325682922741746,0.08797014532308647
5GExfM62siEAddg0cFSElg,Simula Pa Nung Una - Sad Version,3bsQY9pFWVzUMxlSgGQuBn,Patch Quiwa,6oDNGG8OhEVJxjKjQvotXl,,2019-05-16,0,0.37,0.142,1.0,-13.488,1.0,0.0398,0.979,2.48e-06,0.12,0.25,76.657,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,282855.0,1.0,4.71425,,3,sad_opm,0.68380366202425,0.203463253522077,0.08031715778774601,0.03241592666592666,0.68380366202425
7lIzxrXXKxhZuRQOrkOS9Q,Iglap,53jO3PUzrMCETKxBu5vRXk,Carl Nolasco,6N6EeNjiZ5Ytc19vAxkb9C,,2023-09-13,30,0.49,0.638,1.0,-8.923,1.0,0.0423,0.00258,0.00527,0.13,0.314,140.141,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,274000.0,1.0,4.566666666666666,,0,chill_opm,0.5589547518646172,0.5589547518646172,0.06493961564728544,0.07437485154623284,0.30173078094186406
