track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_id,playlist_name,genre,num_artists,duration_mins,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_alternative_rock_proba,genre_pop_proba,genre_sad_opm_proba
5LMnvZ6JUQpQbaT0W8IczU,Nung Iniwan Mo Ako,30jFcaN8Gc1zXthGCdx41E,SinoSikat?,5q2xkf1NBoOvYm7roL4weI,,2013-01-31,13,0.544,0.0865,6,-14.214,1,0.0322,0.987,1.04e-05,0.0836,0.367,72.646,254328,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.2388,2,sad_opm,0.7108011841773987,0.12831485271453857,0.16088402271270752,0.7108011841773987
2Yk4vKH8mhKjjfqvsoojuf,Please Be Careful With My Heart (duet w/Christian Bautista),6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,41gfafRSUWqi31nJj0wr4Z,,2009-05-11,0,0.533,0.277,5,-9.747,1,0.0259,0.764,0.0,0.101,0.338,99.802,217240,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.6206666666666663,2,sad_opm,0.6956005692481995,0.17403177917003632,0.1303676813840866,0.6956005692481995
2c6C41fuIW5Tp2kmjNmuPR,Gusto Kita,7DW4ijH3n36QN0RlC0n649,Angeline Quinto,6brd7B5qnaxDDhogtz8Qwv,,2014-06-30,0,0.461,0.474,9,-7.479,1,0.0347,0.594,0.0,0.0976,0.276,71.76,288000,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.8,2,sad_opm,0.5946531891822815,0.13837915658950806,0.2669677138328552,0.5946531891822815
4wOISjicRMhm89CnvX7zuR,Maybe This Time,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,453Ok0696evJwrzN4DAa6c,,2014-05-05,0,0.389,0.273,6,-7.697,1,0.0362,0.705,0.0,0.117,0.176,134.124,255608,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.260133333333333,2,sad_opm,0.7835556268692017,0.09432242810726166,0.1221219152212143,0.7835556268692017
035PeieoWScEkcERXZAwZs,Kung Wala Ka,78haQ9RJyD9goId1WIGWnV,Hale (EMI Philippines),6svrECdTFLn1b1URjOjvTr,,2005,0,0.499,0.339,7,-7.301,1,0.0263,0.71,0.00219,0.116,0.152,136.42,242625,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.04375,2,sad_opm,0.7853335738182068,0.1118544340133667,0.10281205177307129,0.7853335738182068
1Xr4t4Ze6gfuzY1Yb4bP3z,So Slow,3JITwr6Xwkz8p6cm9leNUh,Side A & Freestyle,5m3Qj30Vp2BKZVGzBFxCyD,,2004-11-06,0,0.452,0.367,0,-7.803,1,0.0512,0.539,0.0,0.0989,0.401,74.092,276253,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.604216666666667,1,pop,0.4549504220485687,0.15079201757907867,0.4549504220485687,0.3942575752735138
2r5MybLrRSxzjjvTXK1Xu4,"Someday - From ""The Unmarried Wife""",4BNWanhw4AjSXjBm9L1Jzy,Juris,0Bbywd8kMBL4xuXzW0I95Y,,2016-11-17,1,0.396,0.199,2,-10.311,1,0.038,0.833,0.0,0.162,0.395,119.69,271804,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.5300666666666665,2,sad_opm,0.7989180088043213,0.09744169563055038,0.10364028811454773,0.7989180088043213
5nroOWfCyqQfJuQgPbL0Ca,Later,31oMMIBDMM2Z1RQO7u8irE,Side A,5AfxJzjBq8epdBtKaEukVb,,2005-08-25,0,0.474,0.228,10,-16.328,1,0.0263,0.508,0.0,0.181,0.174,95.289,255040,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.250666666666667,2,sad_opm,0.6865019202232361,0.19555851817131042,0.11793956905603409,0.6865019202232361
47FmUf2PGJx0VQWPG2G3AS,Sometimes Love Just Ain't Enough,0AuZVHIr5WSEBbBLZwWwWc,Charice,1SZ36nAQWGlwtSMXnjKWt5,,2013-09-06,0,0.414,0.26,10,-10.76,1,0.035,0.737,0.0,0.0828,0.17,83.652,267306,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.4551,2,sad_opm,0.7603249549865723,0.11105576157569885,0.12861929833889008,0.7603249549865723
18uTd2LjdkFVQAkPyKyJvc,Before I Let You Go,3JITwr6Xwkz8p6cm9leNUh,Side A & Freestyle,5m3Qj30Vp2BKZVGzBFxCyD,,2004-11-06,0,0.605,0.472,9,-7.863,1,0.0326,0.176,0.0,0.299,0.0964,60.01,287440,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.790666666666667,2,sad_opm,0.5393785238265991,0.18576614558696747,0.274855375289917,0.5393785238265991
60XzQa3DUqjGCKNFNJ5tGB,Kasalanan (feat. Gloc 9),"['3nZa8vRD64ueq3d0JNYTsl', '7HJDRQAfEcFiARVehhM6qD']","['6cyclemind', 'Gloc-9']",3HEO3OnlFPQHCZR9CflIt6,,2008-07-28,54,0.562,0.628,11,-8.238,1,0.0627,0.0416,0.0,0.324,0.446,144.996,325680,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,2.0,5.428,2,sad_opm,0.4691477119922638,0.24505822360515594,0.28579407930374146,0.4691477119922638
0P0r8DWG4n5zH3uS3A6vBM,I Love You Goodbye,4BNWanhw4AjSXjBm9L1Jzy,Juris,6R1boehqdXSmBPxiAiauMH,,2010-02-10,0,0.385,0.307,8,-10.177,1,0.0316,0.668,1.76e-05,0.0944,0.178,61.489,209528,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.4921333333333333,2,sad_opm,0.7336446642875671,0.1104956641793251,0.15585969388484955,0.7336446642875671
0jHVOudQ7QU88uf5HvNxXq,Same Ground,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,5WqQmJSZQftdikyqONrw2w,,2007-11-15,0,0.523,0.458,2,-10.533,1,0.0267,0.012,1.5e-05,0.117,0.0778,155.928,270600,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.51,2,sad_opm,0.4721347987651825,0.35231053829193115,0.17555463314056396,0.4721347987651825
0CjCFd69rsmubjYlmvSIMF,Why Can't It Be,7DW4ijH3n36QN0RlC0n649,Angeline Quinto,6brd7B5qnaxDDhogtz8Qwv,,2014-06-30,0,0.623,0.346,9,-8.524,1,0.0382,0.635,0.0033,0.0987,0.189,125.952,227448,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.7908,2,sad_opm,0.7864453792572021,0.09730132669210434,0.11625325679779053,0.7864453792572021
5lu9i7rTGdEJJdh0RymuH5,Pag-Ibig Nga Naman,6OmZm4mdE8w3Vaool8RnSu,Kilos,0ndF4sfvCDwBZogYIuPRQO,,2014-12-01,0,0.612,0.391,2,-10.235,1,0.0436,0.704,0.0,0.106,0.389,79.057,232785,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.87975,2,sad_opm,0.5553295612335205,0.16670159995555878,0.2779688835144043,0.5553295612335205
4BxGUG0gDpUCwybrvQ5Gdn,Didn't We Almost Have It All,7DRgc0ko15aNa7DMeZ3J8G,Jed Madela,111mJTQ81aRsWZj9WZxGUV,,2015-05-06,0,0.532,0.641,5,-5.821,1,0.0304,0.14,2.95e-06,0.174,0.293,122.907,314293,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,5.238216666666666,2,sad_opm,0.430167019367218,0.2889975309371948,0.28083550930023193,0.430167019367218
3uzm24qSzzZvtJWCLcBqXA,Sa Langit,2kZThDGZcHl4klYYFk0v8n,Moonstar88,3YM1Db78UeW46D9Dea0vpn,,2001-03-12,0,0.623,0.393,2,-9.557,1,0.0272,0.712,0.0,0.106,0.269,115.553,234266,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.904433333333333,2,sad_opm,0.7024176120758057,0.15911895036697388,0.13846349716186523,0.7024176120758057
5QFbkROMz078wYoD4Km6gv,Half Crazy,3JITwr6Xwkz8p6cm9leNUh,Side A & Freestyle,5m3Qj30Vp2BKZVGzBFxCyD,,2004-11-06,0,0.438,0.397,6,-8.071,1,0.0395,0.462,0.0,0.441,0.201,129.883,265013,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.416883333333334,2,sad_opm,0.7088537216186523,0.11921925097703934,0.17192703485488892,0.7088537216186523
2YNNP39F16ihSho1CzpUIT,Hold On,3JITwr6Xwkz8p6cm9leNUh,Side A & Freestyle,5m3Qj30Vp2BKZVGzBFxCyD,,2004-11-06,0,0.307,0.311,7,-8.235,1,0.0284,0.684,0.0,0.202,0.147,90.796,272346,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.5391,2,sad_opm,0.7592816948890686,0.111207515001297,0.1295107752084732,0.7592816948890686
5WlVbHWa5LkUlkqHLKCv9U,Ferris Wheel,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,6Mm6w4hG8pDXK9O0ZWm95f,,2014-10-30,0,0.641,0.319,2,-7.499,1,0.0266,0.473,1.83e-06,0.103,0.216,139.891,255400,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.256666666666667,2,sad_opm,0.740749716758728,0.1278378963470459,0.13141237199306488,0.740749716758728
5qlJltYPAAp2aG9esHkAyA,More than you'll ever know,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,57d6TkQnwO1FQ5yaRfKE8y,,2008-05-06,0,0.451,0.335,11,-10.205,1,0.0312,0.865,0.0878,0.101,0.21,133.807,202053,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.36755,2,sad_opm,0.623212993144989,0.1763867437839508,0.20040026307106018,0.623212993144989
6f29VclVDRUIVjGuw1wjBH,Abot Langit,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,4xxRoePLdITFIhrzUhmOaQ,,2013-06-11,0,0.569,0.293,0,-11.739,1,0.032,0.657,0.000145,0.369,0.365,165.908,246066,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.1011,2,sad_opm,0.689421534538269,0.14808061718940735,0.16249790787696838,0.689421534538269
1Ed0gKPiVjPxmCCSxHZtFr,"I Don't Want You to Go - From the Movie ""Love Me Again / Land Down Under""",2GqX0GnrKdi6Z2X2OReYOK,Piolo Pascual,63ceEwi6tfWplBtyMwI3gW,,2016-12-02,0,0.45,0.348,7,-8.501,1,0.0302,0.65,5.4e-06,0.22,0.168,86.923,269413,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.490216666666667,2,sad_opm,0.7249190211296082,0.11796678602695465,0.1571141481399536,0.7249190211296082
