track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
0DnNMu0v71ICscsyuQgmu3,0.809,0.728,5,-5.519,1,0.0361,0.0422,0.0,0.121,0.938,128.009,WIN YOUR HEART,53,209531,3g7vYcdDXnqnDKYFwqXBJP,SB19,1,7pIITdtb7JJNSF7ah0hltg,2022-07-17,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.492183333333333,happy opm
7wcxFgRc4igrAwo0GsD1Mc,0.581,0.803,8,-6.157,1,0.0579,0.0345,0.0,0.0789,0.704,100.924,"Tuloy Pa Rin - From ""abnkkbsnplako """,46,293666,6uL1sJWYOjC2V4j9LzmLES,Flip Music All Stars,1,7GWNX1eSeGec65MfGgkQaZ,2014-01-28,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,4.894433333333334,happy opm
2V7ynsdaofsrzPgMn1VoH8,0.711,0.971,11,-4.906,0,0.093,0.044,0.0,0.348,0.82,127.061,Awitin Mo At Isasayaw Ko,31,178426,4HuN4J7CJxP3Y3FizjNxXa,Sexbomb Girls,1,7AOFfSEM5Nx0M2ku2mgkwt,2005-04-18,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,2.9737666666666667,happy opm
0RWSCMLypBE9vqK1EhwCxI,0.775,0.842,3,-4.965,1,0.0686,0.138,0.0,0.265,0.774,102.986,Sinayang Mo,0,193689,5BukDmriB1WrLFDavZzHdJ,Jeremy G,1,1g8zVJRkeTH5UqT8F5p8RZ,2022-09-30,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.22815,happy opm
6vzopDJ9mXKb9wDXP1RLgV,0.76,0.561,9,-7.884,1,0.0338,0.155,9.75e-05,0.278,0.682,107.967,Ewan,51,234280,6MXu7TWZnmykwkXiRJeUMh,Imago,1,6zQgFMVjE1LpUGyMDA7K8h,2007-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.9046666666666665,happy opm
6lIb9gcuy4tm5SU1XVSP9K,0.864,0.834,1,-5.303,1,0.0392,0.0633,0.000133,0.0725,0.973,121.016,Hayop Sa Ganda,40,194014,39EHxSQAIaWusRqSI9xoyF,1:43,1,16DSNgw4WnwcGHS8fWjuKX,2014-08-03,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.2335666666666665,happy opm
6FhJycP10KoRYnm8uovCJ9,0.896,0.849,0,-8.912,1,0.053,0.138,0.0,0.0723,0.982,137.972,Dulce Tirah Tirah,31,211621,0rhvE3OgmlFSE2V5EzI1hr,Denelle F,1,49fnr3vh3QOhClXJqxRevN,2007-10-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.5270166666666665,happy opm
1ZASZCYarg1OZ41lnhW65g,0.843,0.985,7,-1.281,1,0.0724,0.0529,0.0641,0.0213,0.894,139.994,Paro Paro G,49,156055,7CKH1s7UyutklRbZ40Ebc7,DJ Sandy,1,6ZC9Aac8qvrdAASQPjBz4z,2022-02-22,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,2.6009166666666665,happy opm
2mHZkcKMA1MkXAziIXQtVv,0.76,0.79,5,-4.47,1,0.0273,0.03,0.0,0.0445,0.936,98.016,"Paligoy-Ligoy - From ""Diary Ng Panget""",62,198533,17Do37U0HEbxu1tOrKH8dL,Nadine Lustre,1,3KCYGc5oOMidMFih08J4or,2014,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.308883333333333,happy opm
2KnBndXWB37U95D0m7tGcg,0.71,0.771,6,-6.075,0,0.0553,0.218,2.36e-06,0.107,0.9,89.975,Aba Bakit Hindi?,0,198000,17Do37U0HEbxu1tOrKH8dL,Nadine Lustre,1,1puKZofUDo6HwiXbJVqQNv,2014-08-20,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.3,happy opm
6HVT2c1ZZdhH1nGFb4AxUJ,0.745,0.628,7,-7.449,1,0.0535,0.553,0.0,0.0843,0.803,117.919,Estranghero,73,186610,61nn6nOoLWjVC1ER2qFAvN,Cup of Joe,1,4RVn8ciIB4E7FMEBbmLpNc,2022-06-10,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,3.1101666666666667,happy opm
4ESVeOSa7asoWhkAg6aTB2,0.434,0.352,8,-7.397,1,0.0424,0.825,2.66e-05,0.104,0.234,75.378,tila tala,67,281296,3BQ7MYNeB0wMPtHYPWvu1C,syd hartha,1,5leaLgCdTTc6idyVEdBEGP,2018-03-14,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,4.688266666666666,happy opm
4IeuTj1pEHuL9vJSiEqEfR,0.458,0.533,0,-5.249,1,0.0381,0.447,0.0,0.114,0.343,149.832,Ligaya,72,248800,31fsDbpNPKe346urriO4ma,mrld,1,0ccUyUkrIynFO5USku5IHH,2021-10-06,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,4.1466666666666665,happy opm
3Eb5sztvEMa0Mqnb8DUAlU,0.676,0.565,10,-9.411,1,0.03,0.00321,0.000579,0.241,0.689,113.007,Come Inside Of My Heart,78,246396,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,1,5mGR6qKnpILzSzq1yyAUXk,2019-01-18,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,4.1066,happy opm
0EA8jl8Wje9ALRKC8Qlzyt,0.596,0.182,6,-16.004,1,0.0378,0.903,0.0,0.0909,0.268,111.734,Happy w u,70,280714,"['7uDdl5V5AETSFY7K3muu22', '7Hb2cm4pIeCUKwfzutKyjp']","['Arthur Nery', 'Jason Dhakal']",2,3wGtsGy8caFXddQMJau2kb,2020-12-22,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,4.678566666666667,happy opm
5nAURveExXhziMuq8MHEXp,0.787,0.879,2,-4.475,1,0.0646,0.102,6.07e-06,0.0872,0.773,129.998,Crush,49,221756,3ZxIEoqpyP82lbkoFNbw4k,Tweens Of Pop,1,7l8cP2wPjc57nuFoTuUeUp,2012,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,3.6959333333333335,happy opm
5WBgWyIEdpxWhFk9QOPE7C,0.575,0.77,4,-6.684,1,0.285,0.694,1.46e-05,0.283,0.679,169.972,Ako Na Lang,70,204786,45n4dyhe8nXULBDb6wHSXe,Zia Quizon,1,4mj0GHGo0qWcKw1JgklCfq,2011,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,3.4131,happy opm
0QBPWTTVyV3VclqALtmLWv,0.641,0.673,2,-8.346,1,0.0248,0.264,0.101,0.123,0.328,96.01,Isip,70,265182,5xRllYZrqUU5by4KMyz9cY,Healy After Dark,1,4yBK4tfSJXauEBNwEcRvkV,2023-07-05,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,4.4197,happy opm
66tKd60oZUTAK0PdmXJl09,0.762,0.6,7,-5.444,1,0.0404,0.408,1.01e-05,0.283,0.721,132.014,Bukod-Tangi,62,222045,61nn6nOoLWjVC1ER2qFAvN,Cup of Joe,1,4yAWdaZDMWNCNrpwd745NH,2021-04-09,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,3.70075,happy opm
63g7T96x98kozrsNDHWqHv,0.627,0.575,9,-11.128,1,0.0323,0.068,2.01e-06,0.115,0.669,139.997,Kung Maging Akin Ka,60,253235,61OfH8eB8aJIc9T98cecNT,Sugarcane,1,7lCRLdARDimlGNWn58X28v,2021-02-13,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,4.220583333333333,happy opm
39SQ0CjIineoa2mbiJpZdk,0.672,0.271,6,-11.62,1,0.0397,0.741,0.0,0.06,0.623,113.067,Captivated,65,219949,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,1,5mGR6qKnpILzSzq1yyAUXk,2019-01-18,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,3.6658166666666667,happy opm
4mc3rUoMwwiNTHA4al9nNd,0.652,0.76,6,-4.098,0,0.0406,0.221,9.09e-05,0.147,0.615,98.079,Fallen,79,201806,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,1,65mubteFOgv2qZeSWMdNl7,2021-06-25,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,3.3634333333333335,happy opm
4d9aHwNs1oYFoXXANb9r2r,0.767,0.66,10,-5.94,1,0.031,0.558,0.0,0.119,0.961,119.929,Panalangin,52,207337,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,1,68z8GsaQZCe99Q0B2HZfUG,2013-01-01,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,3.455616666666667,happy opm
51NAz1GAp82XJ4bXGZa2qR,0.598,0.427,11,-8.037,0,0.064,0.473,0.000366,0.103,0.461,170.078,By My Side ft. Tiara Andini,60,234352,"['67IN4cLJ7798gUapyZlmac', '0kPb52ySN2k9P6wEZPTUzm']","['Zack Tabudlo', 'Tiara Andini']",2,5iuJcpdpAmd13OpnG7Wp2x,2022-10-28,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,3.905866666666667,happy opm
0dCDBADaqgcQ62LdyRsejn,0.484,0.233,0,-9.077,1,0.0356,0.761,0.000249,0.452,0.315,143.221,Home,53,333622,2JI8ViuZDBybY6Xd9ujUrb,Reese Lansangan,1,2ckgN1jJObKrLisIuVso10,2016-10-29,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,5.560366666666667,happy opm
12QcuTyW2yumtruHEyUJh6,0.651,0.543,9,-8.733,1,0.027,0.214,0.0,0.105,0.509,120.024,Ligaw Tingin,55,256487,7mpEg5WV7rNQSLwxxVJ4kk,Zildjian Parma,1,2XBsH0yNuSFrTKNrHS14LG,2022-09-25,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,4.274783333333334,happy opm
43t6oyPWJ67nifk7JgDgoI,0.447,0.363,1,-9.743,1,0.0478,0.923,0.000249,0.132,0.125,115.457,Sunsets With You,64,253913,"['3jjbX9cm5Np3ekAypS71si', '3TrbbmtvHwXSKbBc1tClSV']","['Cliff', 'Yden']",2,2fEfoRUwtHZa6OZ44Mjc6X,2022-02-04,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,4.231883333333333,happy opm
3FsDo7jplRKAkFzxZ4vbZu,0.871,0.407,11,-11.166,1,0.0784,0.451,0.00012,0.0966,0.741,121.992,Bahala Na,62,228688,2owtRYReKCG1n2AAS5AcpS,Kenaniah,1,50ZqQAS4Cp2ATe9w1MUHB7,2023-07-07,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,3.8114666666666666,happy opm
4AkpzRUJO1EDd5WrwWMWno,0.526,0.919,9,-4.477,1,0.0649,0.041,0.0,0.239,0.925,132.183,Ako'y Tinamaan,47,200826,6uZjmsQb20mD9kVaEmWMhp,Reo Brothers,1,5xRlf4JYBaPgNs1ugFKGXb,2015-01-19,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,3.3471,happy opm
