track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2lnDNgTDt5Ouu5dCpvjvsF,0.562,0.692,9,-9.011,1,0.0538,0.0309,0.0293,0.0985,0.942,167.355,232013
37BTh5g05cxBIRYMbw8g2T,0.365,0.513,7,-13.034,0,0.0357,0.0208,0.000147,0.205,0.739,80.647,331200
3MrRksHupTVEQ7YbA0FsZK,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,310333
1zng9uqqXoPkmU05nsAlsw,0.309,0.596,5,-5.599,1,0.0293,0.101,0.0,0.21,0.161,164.587,394400
577MNC3o3L0lNIzx9abqOk,0.385,0.342,2,-7.749,1,0.0285,0.416,0.0,0.119,0.131,132.864,308933
6YFYYxoLH9Aoasz0unIXiK,0.605,0.454,5,-8.394,1,0.0264,0.241,0.0,0.114,0.326,121.974,223093
56A0zbb8pv9Q2igFRPrKwe,0.547,0.364,0,-8.789,1,0.0251,0.609,0.0,0.107,0.217,64.252,255507
5p0ietGkLNEqx1Z7ijkw5g,0.491,0.593,0,-5.975,1,0.0255,0.098,0.0,0.257,0.328,144.142,231760
41SE77LHNAj911kYih7kmZ,0.614,0.429,9,-10.473,1,0.0264,0.499,0.0388,0.0724,0.25,139.912,403286
1lx8ddGT5wCD6W2xmLeRKG,0.636,0.264,6,-14.567,0,0.0263,0.593,4.22e-05,0.275,0.264,99.304,238467
40LQiUUUKXVGyNs09lHVjW,0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,261853
468iB1VWvEy9ln8M9zdde6,0.52,0.969,1,-3.612,1,0.0331,4.47e-05,0.00232,0.157,0.63,97.598,185067
5tg4Rr2rArQJKiH2hcaJph,0.545,0.332,0,-9.124,1,0.0412,0.505,0.0,0.0888,0.434,106.067,275907
2U7cnTug2AaI7HUUoNQnCZ,0.351,0.587,7,-7.228,1,0.0422,0.392,0.0,0.0624,0.278,73.956,325187
