name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
King and Queen of Hearts,44,260893,75UoXjRBibZdgsBdXxSpd1,6SuhlH2L1NB53bBscBqAdu,David Pomeranz,1,0a87wgQQ0zSk6s7K288jiD,2006-09-26,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Every Woman in the World,52,209066,3QVF04HFQTAXWcVVB8YrCU,4xXCRXOfQKQ2gjWxNhNzYW,Air Supply,1,6zZghuoEsUmlwvfII4m1z4,1983-08-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Got To Believe In Magic,42,248000,7nlDAJZuqDpNx7fRcN6Vgy,6SuhlH2L1NB53bBscBqAdu,David Pomeranz,1,0a87wgQQ0zSk6s7K288jiD,2006-09-26,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Ocean Deep - 2002 Remaster,57,315666,4EcVaop8xvGsniLQTCnyyC,2nvKpWcP8etYTq4JrRiUiy,Cliff Richard,1,6m8NKmLeq4QDv1GTGK6WpF,1983,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Starting Over Again,0,253520,4By7qbekwaNdRiGwAHWRiH,5tTsrGPwQRWUsHR2Xf7Ke9,Natalie Cole,1,1Fz5HW0oy2HuSLMleCLzlx,1989,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
In Your Eyes,60,200640,1nHN3m6EzCzKAmDgwoLBMD,4N8BwYTEC6XqykGvXXlmfv,George Benson,1,4QZ7wq0y0io4KdNDqF81y8,1983-05-18,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Born For You,42,235600,6hgZBE0upBMJiyqpdM88JH,6SuhlH2L1NB53bBscBqAdu,David Pomeranz,1,0a87wgQQ0zSk6s7K288jiD,2006-09-26,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Ever Since the World Began,61,222053,2yx6DUrIIGXSAwrvfBrTKQ,26bcq2nyj5GB7uRr558iQg,Survivor,1,4PT9VulQaQP6XR1xBI2x1W,1982,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Through the Fire,65,288653,7gh2v4IHnxdiwSgA6xluhe,6mQfAAqZGBzIfrmlZCeaYT,Chaka Khan,1,08yanJqA75TPyDowCXvvPU,1984,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
You Decorated My Life,0,218133,3LUouz9YT9gvLmTPjc1gUh,4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,1,4QWiLPlZ63fP3gmcN97HGt,1979-10-10,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Nothing's Gonna Change My Love for You,75,242678,0vB4Vd6PtkJSEnWsmqATnZ,4N8BwYTEC6XqykGvXXlmfv,George Benson,1,23HV3deh17hOFNg3OKmGnW,1985-01-15,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Where Do Broken Hearts Go,68,277600,7tLtIZclwLWk54PFAyDv5T,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,1,5Vdzprr5cOqXQo44eHeV7t,1987-06-02,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
I'll Never Love This Way Again,0,212026,34YDWNAnbMUmnun2KWLEMJ,2JSjCHK79gdaiPWdKiNUNp,Dionne Warwick,1,0860KSGW3D53I8U4MuN83E,1979,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Every Now and Then,56,262293,2q4CJqgmkZmnUlgcvjsWFo,4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",1,1num92a5GVrzsjg9mcALXO,1987-10,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Lost in Your Eyes,68,215146,6PMDILZiYo4YzMBbE0dGK9,18jZvCsW1PJ4FDQ5gEXuKp,Debbie Gibson,1,5PnwSSRbLcCLpNMe2LFhOC,1989-01-10,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Anything for You,0,224373,6erX1jyOxcjUXnsEQp8aTU,"['5IFCkqu9J6xdWeYMk5I889', '18xgcedCGxFbqLbIQn5R8F']","['Gloria Estefan', 'Miami Sound Machine']",2,14ftOUL2ZHl11HSStuYUHx,1987,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Cherish,0,238933,3aphZHgE73kSPFKiPJRNpk,3VNITwohbvU5Wuy5PC6dsI,Kool & The Gang,1,52ZOtET6twyVA0ZBlDG2RP,1999-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Hello,71,246933,6HMvJcdw6qLsyV1b5x29sa,3gMaNLQm7D9MornNILzdSl,Lionel Richie,1,5U0NU0T1JKIJwgq2ZDWb2T,1983-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Lady,65,231866,5Pj5zrq2nbKcAekH1AxbrO,4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,1,5Cum33m0MK39JjWvbGO8bQ,1993-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
(Everything I Do) I Do It For You,0,393640,76qB2ZEZlEJAMqMqUjKusp,3Z02hBLubJxuFJfhacLSDc,Bryan Adams,1,0RhmLffWf3oRr6ahOS6G47,1991-09-24,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Eternal Flame,68,235666,5g3ZD7PmrEQlQZKDW91yGG,51l0uqRxGaczYr4271pVIC,The Bangles,1,7mpaRCyqIZ5Tj5wTB5612U,1988-07-17,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Don't Dream It's Over,0,236933,6avxJ3kn6rkPE21X4fyg7q,7ohlPA8dRBtCf92zaZCaaB,Crowded House,1,0dAD49L0BeGHuxXeyjEq4o,1986-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Wonderful Tonight,0,225026,4qmHeQBYieqj3VMAPascsE,6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,1,5L3heXJfh1liiYsZyFZ22G,1977-11-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Time After Time,81,241333,7o9uu2GDtVDr9nsR7ZRN73,2BTZIqw0ntH9MvilQ3ewNY,Cyndi Lauper,1,1FvdZ1oizXwF9bxogujoF0,1983-10-14,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Carrie,73,272133,29wJiSQcze8HEmxkUQykyp,7Js6Lde8thlIHXggv2SCBz,Europe,1,5Jkd47JEaCU1g4DcGBnHm3,1986,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Africa,87,295893,2374M0fQpWi3dLnB54qaLX,0PFtn5NtBbbUNbU9EAmIWF,TOTO,1,62U7xIHcID94o20Of5ea4D,1982-04-08,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Come What May,55,238560,387BBXRpp5CiLmwHLiJjw8,4xXCRXOfQKQ2gjWxNhNzYW,Air Supply,1,0jWQH4FmSo5CUbRnMvvMoL,1982-06-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Just Another Woman In Love,51,176333,48iBpOmxXi0h6rcq0jYVoP,7d7q5Y1p2QWS4QRAhTQR5E,Anne Murray,1,22GHFC2haztPAslfounJp2,1983,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Beautiful In My Eyes,60,249493,5o8gWPZxr4GZFslU85YMmu,2VrP5BkyzDhY43dWMlaYjD,Joshua Kadison,1,1EEVf5UBSD4YlE1NBQXLfW,1993-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Valentine,60,196266,6qWGRBzQMq6DXovBZMSE9d,"['2NzWRNaaLByHyI3wpuec8P', '3P33qFNGBVXl86yQYWspFj']","['Jim Brickman', 'Martina McBride']",2,6BeGhF9toWqHVpmtYFGTpH,1997,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
If You're Not Here (By My Side),50,265480,1V1X4WvjJUomAk58FJPEeI,3Edq1eT7m7GX0PvHW7yEDF,Menudo,1,4dWLbIe5qAFIP3GFnbTTXL,1999-07-27,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
I Just Fall In Love Again,62,171640,6aBiU9lFd3BhtggI7aeqBI,7d7q5Y1p2QWS4QRAhTQR5E,Anne Murray,1,7lzKMo3MHAz8Xuc0LBA4tG,1979,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Exchange of Hearts,65,214373,2NLpJyhdn1WMgLZWgOTnLp,13vi392E4vdrP8SV0ahXIb,David Slater,1,5h40Qw5rySDTQPXoc5O6Yg,1988-07-03,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Make It Real,37,259066,4fafKRVKjFXguZIilT9JwK,3AHq6rutf72JF0ul8GB6G2,The Jets,1,14cEah80u4Q1QdcwuvTaEC,2014-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
I Will Be Here For You,34,273400,1ctgPprqWlp40a4K2wTfyF,5aBxFPaaGk9204ssHUvXWN,Michael W. Smith,1,5vUTcslBFv3t0b6fmCvPdj,1993,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Lucky,75,189613,0IktbUcnAGrvD03AWnz3Q8,"['4phGZZrJZRo4ElhRtViYdl', '6aZyMrc4doVtZyKNilOmwu']","['Jason Mraz', 'Colbie Caillat']",2,04G0YylSjvDQZrjOfE5jA5,2008-05-12,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Till I Met You,0,200773,4bmwSpkKu2HRWn1jlhOpdX,0ntzbBdKbiyPx06Xscs9UI,Kuh Ledesma,1,3niozdLvLI1MFN6QL4lGjr,2010-09-13,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Paint My Love,51,231000,5hj5mKPbazrXJE62rNtOps,7zMVPOJPs5jgU8NorRxqJe,Michael Learns To Rock,1,2V1PI6IQ7b6B6EWFlV1Nmv,2019-06-14,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Back At One,71,263666,6mwA6YiKDjAUG8kWvRRUPh,6k0IBR0lU42s2GYpNX7kA9,Brian McKnight,1,0ZnKlkQrZb1xDbT8bmPSjo,1999-09-21,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Angel of Mine,67,250173,1AM1o0mKbgAK5oMpY8B3Z7,6nzxy2wXs6tLgzEtqOkEi2,Monica,1,6mIyViyBHV4eoQqI4JZByh,1998-07-13,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
I Want It That Way,70,213600,6e40mgJiCid5HRAGrbpGA6,5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,1,1NslKOZobWxINFaFkLol3r,2001-10-23,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
My All,69,230933,3RSpK5Y0y5tl25qvssrwJ6,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,1,7aDBFWp72Pz4NZEtVBANi9,1997-09-16,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Sleeping Child,46,210600,0uMBzF4XYgZHfHr4sCM4J9,7zMVPOJPs5jgU8NorRxqJe,Michael Learns To Rock,1,5kvsuD2SqIcuuU2jA9Tig9,2010-02-19,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
On The Wings Of Love,0,246080,5e8Od5m4mMLblfBHK36c4T,5qUHCOUsvVKUpVrMMmztMK,Jeffrey Osborne,1,0QBNxOIQHwu66oobvV5uGZ,2003-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
After All (Love Theme From Chances Are),0,244946,6SVGZeLQ2TOrMmLnWPFenB,"['72OaDtakiy6yFqkt4TsiFt', '5xWPOujQqd4wXyB08slZ9Z']","['Cher', 'Peter Cetera']",2,3YIX9PT8tcXuKCVDywqjmW,2005-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Terrified,0,236773,6vtOX9riyVzwJxj2SYTuES,"['5oWOx0BBDSMoFB8JDrjQre', '4ISvSAA85lr3lDwpMEBNgS']","['Katharine McPhee', 'Jason Reeves']",2,1PLVcKy1l5tb5mcxNYjKo1,2010,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
"It Might Be You (from ""Tootsie"")",45,259200,1asbauP5iqBr21MTpWDdNS,3JhRHqCi8HEzkJVWt19LtN,Stephen Bishop,1,6c45uEijyva8zwRMtP8j4O,2007-12-23,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Stitches And Burns,0,261640,2VGFj3aOub12LU2g1IJSpx,1Oi99c5Uoxbg8nJT8WprBw,Fra Lippo Lippi,1,0D42kQ1DttYKqFAL4DnIaP,2012-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Forever,0,264800,3HXEItH4mF7rVcr9m2MtuL,3Y3xIwWyq5wnNHPp5gPjOW,Kenny Loggins,1,5xY88ZyGU8oRraqDD6ThQX,2002,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
What About Love?,0,221106,7JmsQwxDlC89imxewJcnHO,34jw2BbxjoYalTp8cJFCPv,Heart,1,1VEQ2mal6ULVnEbk04b6Gp,1985-07-06,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
How Sweet It Is (To Be Loved by You),0,214133,2RwFdFIN9JAyVUzevwkzez,0vn7UBvSQECKJm2817Yf1P,James Taylor,1,4mMlhHLgeVQHymeJPzP93p,1975,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Ipagpatawad,0,241040,6Zj3BPdOPcVg6IOLoCZeTG,6ty99gP6NrhgCOkMF2ONpy,Janno Gibbs,1,3T4VbQI5NUBP6TY9Dro1QQ,2010-09-03,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
I'd Rather,61,259693,5oDM9YSQIlhuWa0awHF4Z2,19y5MFBH7gohEdGwKM7QsP,Luther Vandross,1,0aVESmFxjOVvMHghkCrj7c,2006,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
I'll Be,71,266533,5K7AMlpc4796JRWXb26nCV,0L6Gwm0JDrgIQJfjarWSUR,Edwin McCain,1,1JB1Zvcddt81PiipQQC319,1997,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Don't Say You Love Me,55,279106,0wbWUdfexByPnIcfLOefMu,1VbWUxZTRNY2gw3qZ1tg9W,The Corrs,1,1z8ikMQ0VmMJDPmeiKY3o5,1998-10-17,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
The Way You Make Me Feel,58,297400,541jTq3SOEELKvcfA0jHI0,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,1,3OBhnTLrvkoEEETjFA3Qfk,1995-06-16,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
