track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
77GcYr9JP6uvJM0kPa6Nzk,0.623,0.738,3,-5.709,1,0.0281,0.179,0.0,0.146,0.874,152.066,152947
1fhkYbKPdQSd3Tb0MLTQ5Y,0.805,0.721,4,-4.766,1,0.0295,0.555,0.0,0.28,0.954,116.346,100840
5YCtVgWVEVN4HJz7UGKame,0.212,0.247,2,-12.49,1,0.0307,0.82,0.00139,0.169,0.105,89.175,212573
514vD4ip2V1BhGzuosVJci,0.679,0.62,9,-8.453,0,0.217,0.121,0.0,0.0976,0.67,99.761,209387
4nAR2gfX6f5kTbloGnp8FZ,0.504,0.604,3,-5.256,1,0.0258,0.474,0.0,0.336,0.163,86.147,254707
0wDKteaNLe3xkaFtj6tH5h,0.668,0.843,0,-3.766,1,0.0268,0.169,0.0,0.195,0.702,147.083,255400
6mSl18zBZr0wMqVqYnUlg7,0.524,0.442,5,-9.868,0,0.0442,0.725,0.0,0.107,0.209,126.382,212827
5NKfKc93v2TUqz7b2JdfLH,0.361,0.22,2,-10.522,1,0.0344,0.754,3.15e-05,0.149,0.144,139.429,258680
5ODluEnef41mm959LLpj9U,0.556,0.209,7,-9.864,1,0.0304,0.799,0.000205,0.088,0.194,65.92,253840
0SBvai9UHnfkJwFYK1W7ib,0.558,0.365,0,-9.026,1,0.026,0.414,3.64e-05,0.198,0.277,140.053,211067
0Bv5ce2dcjrILgJ0ESLhxG,0.243,0.0985,2,-14.389,1,0.045,0.948,4.83e-05,0.108,0.182,66.982,232560
4QrtpAAskx2wFqm0PQE0j9,0.802,0.47,11,-8.414,1,0.0291,0.286,0.0,0.116,0.754,99.994,272400
2VkuxjlbnbaBiWYpdBGVol,0.648,0.938,1,-3.298,1,0.115,0.0339,1.28e-06,0.0564,0.849,78.496,200467
0SAPJgOSg1zrnNHTOgKUjN,0.542,0.567,9,-5.758,1,0.0287,0.695,0.0,0.075,0.657,110.066,201206
2u150rZhiPffGiKChjr5S7,0.174,0.257,10,-9.099,1,0.0349,0.906,1.61e-06,0.226,0.182,174.546,310610
7zwiSYX8z5CpVBSO6BZuS0,0.76,0.236,5,-15.781,1,0.0489,0.615,0.866,0.07,0.191,112.083,266333
0y9Yz0JjRtRGjcXlGkMRAp,0.424,0.244,0,-13.72,1,0.0316,0.528,0.0,0.111,0.35,91.605,185000
7fu9Qxb3dloPFtIDAlmPRx,0.293,0.368,5,-9.505,1,0.029,0.665,0.0,0.1,0.705,76.833,136173
04Pq2GPhmaK1TqRvxWHZFQ,0.494,0.872,11,-2.366,1,0.0339,0.0523,0.0,0.289,0.448,145.967,225579
2x9Dpw8AK84CkDyTtTFQuR,0.424,0.511,7,-7.988,0,0.0299,0.481,0.0,0.0723,0.573,122.539,166293
7xvvb6N1rpdMeJv5vn4aRD,0.194,0.364,9,-10.183,1,0.033,0.496,0.785,0.106,0.234,144.858,316000
2zHSfeOqHr9nUCVuqIToZO,0.486,0.239,7,-12.063,1,0.0515,0.956,0.919,0.0965,0.215,160.897,223515
