name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
tila tala,67,281296,4ESVeOSa7asoWhkAg6aTB2,3BQ7MYNeB0wMPtHYPWvu1C,syd hartha,1,5leaLgCdTTc6idyVEdBEGP,2018-03-14,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Ligaya,72,248800,4IeuTj1pEHuL9vJSiEqEfR,31fsDbpNPKe346urriO4ma,mrld,1,0ccUyUkrIynFO5USku5IHH,2021-10-06,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Come Inside Of My Heart,78,246396,3Eb5sztvEMa0Mqnb8DUAlU,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,1,5mGR6qKnpILzSzq1yyAUXk,2019-01-18,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Happy w u,70,280714,0EA8jl8Wje9ALRKC8Qlzyt,"['7uDdl5V5AETSFY7K3muu22', '7Hb2cm4pIeCUKwfzutKyjp']","['Arthur Nery', 'Jason Dhakal']",2,3wGtsGy8caFXddQMJau2kb,2020-12-22,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Crush,49,221756,5nAURveExXhziMuq8MHEXp,3ZxIEoqpyP82lbkoFNbw4k,Tweens Of Pop,1,7l8cP2wPjc57nuFoTuUeUp,2012,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Ako Na Lang,70,204786,5WBgWyIEdpxWhFk9QOPE7C,45n4dyhe8nXULBDb6wHSXe,Zia Quizon,1,4mj0GHGo0qWcKw1JgklCfq,2011,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Isip,70,265182,0QBPWTTVyV3VclqALtmLWv,5xRllYZrqUU5by4KMyz9cY,Healy After Dark,1,4yBK4tfSJXauEBNwEcRvkV,2023-07-05,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Bukod-Tangi,62,222045,66tKd60oZUTAK0PdmXJl09,61nn6nOoLWjVC1ER2qFAvN,Cup of Joe,1,4yAWdaZDMWNCNrpwd745NH,2021-04-09,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Kung Maging Akin Ka,60,253235,63g7T96x98kozrsNDHWqHv,61OfH8eB8aJIc9T98cecNT,Sugarcane,1,7lCRLdARDimlGNWn58X28v,2021-02-13,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Captivated,65,219949,39SQ0CjIineoa2mbiJpZdk,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,1,5mGR6qKnpILzSzq1yyAUXk,2019-01-18,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
