name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Come In Out Of The Rain,0,255320,5YiVIDWe9lP9bcL75DSfai,32PL3PLStRsft4ArQ3hWZG,Sheryn Regis,1,6i1xWKdTM0kYkxUfZoX5zZ,2010-06-10,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Kung Malaya Lang Ako,0,236669,71F3zoVcpLGkFxXBUsU8f9,11Jdq2gOTBhmfEYmFrZlue,Kris Lawrence,1,6i1xWKdTM0kYkxUfZoX5zZ,2010-06-10,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
This Time,0,287346,29OmqZsuwkfqqmwdQUJ1pp,3JITwr6Xwkz8p6cm9leNUh,Side A & Freestyle,1,5m3Qj30Vp2BKZVGzBFxCyD,2004-11-06,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
I'll Never Go,0,263053,264AJshQiKaHtimNeW4uyP,7ygtjsCTrCQZAYYPOne9uE,Erik Santos,1,3lpmZCJs6v3AU67xYjaxiT,2006-11-15,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Paminsan-minsan,0,304538,1U19WZNdhEzogJUn5BmUaD,7ygtjsCTrCQZAYYPOne9uE,Erik Santos,1,6wrae6yHAQhFkZIvDJspp6,2011-08-12,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
A Little Bit,0,225653,43m87ndP9Mol6Y4MP4RoHl,5elcNQkZ6FCZA3grSOMngY,MYMP,1,6gX7NLNj8fwIEjAMByW9fc,2004-07-21,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Beauty and Madness,0,251013,6rntZMeJub1U90XIKstouO,5elcNQkZ6FCZA3grSOMngY,MYMP,1,6bfrwiC19nEjAwGN98un6f,2005-03-10,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
The Closer I Get to You,0,240013,0suqZVZiRaCrcHGqxca2dH,5elcNQkZ6FCZA3grSOMngY,MYMP,1,5wH5iH4hv1wEX2qv1XVvw0,2005-01-28,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Constantly,0,256013,4iqCkOHDjrm5sO5R8xAfKw,5elcNQkZ6FCZA3grSOMngY,MYMP,1,6bfrwiC19nEjAwGN98un6f,2005-03-10,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Especially for You,0,223013,4B58w2sCk7y7mcIdIoP7Gd,5elcNQkZ6FCZA3grSOMngY,MYMP,1,6bfrwiC19nEjAwGN98un6f,2005-03-10,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Eternal Flame,0,201013,3Wwrf8liaMA4yHd5259Tpg,5elcNQkZ6FCZA3grSOMngY,MYMP,1,6bfrwiC19nEjAwGN98un6f,2005-03-10,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
For All of My Life,0,242013,7baaHL2uxNSmlE5Dd06JMa,5elcNQkZ6FCZA3grSOMngY,MYMP,1,6bfrwiC19nEjAwGN98un6f,2005-03-10,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Kailan,1,277013,2OedeVZkRGvGckwP19kvgx,5elcNQkZ6FCZA3grSOMngY,MYMP,1,0tH9g6Q7va9BzCY2pAFygZ,2005-05-09,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Paalam Na,0,241600,0dEPxGm4Klnic5btqgtfiO,5elcNQkZ6FCZA3grSOMngY,MYMP,1,6gX7NLNj8fwIEjAMByW9fc,2004-07-21,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Sa Yo Lamang,0,271973,2OMJdwY3ajYNgzDEz5YRix,5elcNQkZ6FCZA3grSOMngY,MYMP,1,5iuB4KAXBWsDKMYJRb15GT,2006-12-12,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Talaga Naman,0,249013,5xBgB38j2o8FEiQKhlGpGO,5elcNQkZ6FCZA3grSOMngY,MYMP,1,0tH9g6Q7va9BzCY2pAFygZ,2005-05-09,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Waiting in Vain,0,282466,1PcSqKkWK3nesVXwhmGJbN,5elcNQkZ6FCZA3grSOMngY,MYMP,1,6gX7NLNj8fwIEjAMByW9fc,2004-07-21,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
With A Smile,55,280546,3pGeMszs8vgG4osWUTMEk9,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,1,2DIpgoeZAbwk3wF1qSDj8v,2004-01-23,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Nandito Ako,0,311626,6LAKywYsSg62yvSqKHvNy6,2C9n4tQgNLhHPhSCmdsQnk,David Archuleta,1,0cgE5TDlPNLDHUWJh7vfct,2012-02-06,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Through the Fire - Live,53,301800,6LZ8PFSqJLC9uq5pB05uDo,2tQbSWgZLIB8MXMnsXVRro,Nina,1,66a4sphHBAshn0R7a8q2W6,2007,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Burn (feat. Christian Bautista) - Live,48,319160,2qInE6m8rdctSJfOocdGNL,"['2tQbSWgZLIB8MXMnsXVRro', '4U78sK2D3zASSB6oSR38GQ']","['Nina', 'Christian Bautista']",2,66a4sphHBAshn0R7a8q2W6,2007,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Forevermore,0,294716,5z3cGRnrOfnRPDb9R0ZbIC,4BNWanhw4AjSXjBm9L1Jzy,Juris,1,6qN7WcmIk2InzfPYVMFEp0,2011-07-22,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Ikaw,0,284316,3ZocfhBeJOtyOaI5EBRezy,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,1,7ySVmroKz2rRhhyZ4gvko1,2014-08-28,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
Mahal Ko o Mahal Ako,0,222560,5uH1oF5GWWCSdja7JcyE6X,1mcqfNCReSFxun2vIWvC28,KZ Tandingan,1,0IzzYDOusB5sXFVnEvivNO,2014-10-01,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session
