track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
2tE6j5hru0Ja0p56TJQO6O,Wake Up,3TfoPqkJ2EeEJAXZoyoe04,Yvng Leaf,0ZR4ajL4TNVQrBfie2Ibyb,173714,2021-11-26,32,0.779,0.409,8,-12.784,1,0.105,0.206,6.01e-06,0.102,0.366,84.993,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
587EirXYJWD4QsymyoVUxb,Similar Vibes,3lDfsS6EuLofMXRdKpypb2,Riskykidd,5N2JlxeUekawHmx56E6Q6I,190080,2021-11-20,31,0.841,0.502,3,-9.503,0,0.284,0.6920000000000001,0.0,0.123,0.706,124.954,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,2PaZWGu5T5nHjY2xxAkFsT,THE SCOTTS,7q6zjWaLw8bN5nYiBWjrus,165977,2020-04-24,79,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.97899999999998,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,2PaZWGu5T5nHjY2xxAkFsT,THE SCOTTS,7q6zjWaLw8bN5nYiBWjrus,165977,2020-04-24,79,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.97899999999998,5TZkls9cEOzWDR6qCxwDot,HipHop 2021
5Ir6rnRuNtCzkuLT7dPMIP,SLMS,1Vr0ii5T3Gmnp2iHLr4bwa,XØ LØUIE,6eQUm5eXQSCXiZpB9DkSaw,119607,2021-12-10,39,0.8320000000000001,0.5589999999999999,11,-11.245,0,0.0862,0.0441,0.0,0.0954,0.77,144.827,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
5irzewJoHob42Nq3P9kOYh,Seduce (feat. Capella Grey),1z7b1Pr1rSlvWRzsW3HOrS,Russ,4rznzfuokCVEOo5amWNx7c,117446,2021-09-24,77,0.825,0.366,1,-6.973,0,0.0614,0.624,1.87e-06,0.0575,0.75,94.032,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
4V63vlmg9ukF3s6rYZp0sX,Championship Ring,71E0eMGptFxvtQpJvSOUeA,Santa Sallet,4B8Wj6FM1Rjdy07pDjXoOZ,112975,2020-08-08,27,0.7809999999999999,0.38,4,-7.91,1,0.5720000000000001,0.196,0.000363,0.318,0.647,84.74700000000001,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
4V63vlmg9ukF3s6rYZp0sX,Championship Ring,71E0eMGptFxvtQpJvSOUeA,Santa Sallet,4B8Wj6FM1Rjdy07pDjXoOZ,112975,2020-08-08,27,0.7809999999999999,0.38,4,-7.91,1,0.5720000000000001,0.196,0.000363,0.318,0.647,84.74700000000001,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
7m46MGzkQYDjscsTSVhaEY,Demon Time,5zCM3qTVfLN91rEvbeDHU1,Kash Mula,2ydzivrefrnsjq9lyCOvQP,233195,2020-01-15,47,0.897,0.615,2,-11.841,1,0.32,0.1,0.0,0.141,0.552,142.05200000000002,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
7m46MGzkQYDjscsTSVhaEY,Demon Time,5zCM3qTVfLN91rEvbeDHU1,Kash Mula,2ydzivrefrnsjq9lyCOvQP,233195,2020-01-15,47,0.897,0.615,2,-11.841,1,0.32,0.1,0.0,0.141,0.552,142.05200000000002,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
0nbXyq5TXYPCO7pr3N8S4I,The Box,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,52u4anZbHd6UInnmHRFzba,196652,2019-12-06,84,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
