track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
0wu1deoRFwktnfD6dTt9KE,0.477,0.398,4,-9.936,0,0.0382,0.154,0.000208,0.0783,0.326,139.444,o ninanais,61,252214,7uDdl5V5AETSFY7K3muu22,Arthur Nery,1,1X5tEgzP3ie9ViLe68LJNA,2023-02-17,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,4.203566666666666,chill OPM
4IeuTj1pEHuL9vJSiEqEfR,0.458,0.533,0,-5.249,1,0.0381,0.447,0.0,0.114,0.343,149.832,Ligaya,72,248800,31fsDbpNPKe346urriO4ma,mrld,1,0ccUyUkrIynFO5USku5IHH,2021-10-06,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,4.1466666666666665,chill OPM
663vZfMh88Uo2bfTx6wiE4,0.676,0.259,6,-12.127,1,0.0598,0.801,2.36e-05,0.115,0.314,75.031,Pelikula,72,204693,"['09Xydf4dlkr29dH99DmsvQ', '7uDdl5V5AETSFY7K3muu22']","['Janine', 'Arthur Nery']",2,4Ufwb1ZIfcSK4GKGzfZipb,2021-07-02,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,3.41155,chill OPM
0uZFcsx96wzbixsULmrg8o,0.71,0.61,2,-4.674,1,0.0351,0.415,2.67e-05,0.181,0.404,120.032,Pasilyo,82,270250,4bLLB1dbsRVUTcMpnDGDO2,SunKissed Lola,1,4shoxv60vMxSDq40tp5cSK,2022-10-28,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,4.504166666666666,chill OPM
3h8uWt8HNyDNubPSEBgTPG,0.738,0.39,8,-8.437,1,0.0334,0.409,0.0,0.107,0.547,113.979,Yakap,70,178947,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,1,0HNCZzy2tqjuLZJuTDGdAW,2022-07-22,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,2.98245,chill OPM
1cknB5OmLMuJFmdDzQpCIv,0.67,0.346,5,-7.092,1,0.0271,0.428,0.0,0.101,0.415,88.013,Rainbow,67,345155,6ZgBJRjJsK1iOJGKGZxEUv,South Border,1,4d8LGjRzdKQH7EbODTbntX,2005,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,5.752583333333333,chill OPM
5d9Rka4T0szdC1MobhtXrV,0.624,0.596,4,-9.288,1,0.0308,0.107,0.0,0.357,0.75,113.204,Paninindigan Kita,69,312234,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,1hz1zGc3c7U5G7mIazQ2vW,2022-05-01,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,5.2039,chill OPM
6rIx9meOtOHDoo6ryRUdHv,0.463,0.592,4,-4.905,1,0.0294,0.021,1.48e-06,0.093,0.116,139.86,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),66,343017,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,7eXlJM2M5i3iDd8xgd0qwr,2019-12-20,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,5.71695,chill OPM
47OFMuRu5lzJHRbtEXPBbs,0.635,0.724,5,-6.662,1,0.0716,0.28,3.83e-06,0.105,0.316,135.927,Uhaw (Tayong Lahat),80,241185,6Dp4LInLyMVA2qhRqQ6AGL,Dilaw,1,35qpGQN1On4Un7ZUdTVQgD,2022-12-16,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,4.01975,chill OPM
3lCMZOGuHppxbkJN7yJCLk,0.517,0.515,1,-8.68,1,0.0286,0.593,0.0403,0.141,0.242,79.979,Huwag Ka Sanang Magagalit,51,294880,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,1,2kgaM8FzgUo4gKoYmKu6ns,2020-03-27,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,4.914666666666666,chill OPM
